CAS Number,SMILES,InChI
4411-80-7,CC1=NC(=CC=C1)C2=CC=CC(=N2)C,"C12H12N2/c1-9-5-3-7-11(13-9)12-8-4-6-10(2)14-12/h3-8H,1-2H3"
225931-80-6,C[Si](C)(C)[CH2-].C[Si](C)(C)[CH2-].C1CC=CCCC=C1.[Pd+2],"C8H12.2C4H11Si.Pd/c1-2-4-6-8-7-5-3-1;2*1-5(2,3)4;/h1-2,7-8H,3-6H2;2*1H2,2-4H3;/q;2*-1;+2"
1522267-53-3,CC1=C(C(=C(C=C1)F)Br)N,"C7H7BrFN/c1-4-2-3-5(9)6(8)7(4)10/h2-3H,10H2,1H3"
34409-44-4,CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C.CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C.Cl[Pd]Cl,"2C14H23P.2ClH.Pd/c2*1-13(2,3)15(14(4,5)6)12-10-8-7-9-11-12;;;/h2*7-11H,1-6H3;2*1H;/q;;;;+2/p-2"
,,
6476-36-4,CC(C)P(C(C)C)C(C)C,"C9H21P/c1-7(2)10(8(3)4)9(5)6/h7-9H,1-6H3"
12245-39-5,CC(=CC(=O)C)O.C1CC=CCCC=C1.[Rh],"C8H12.C5H8O2.Rh/c1-2-4-6-8-7-5-3-1;1-4(6)3-5(2)7;/h1-2,7-8H,3-6H2;3,6H,1-2H3;/b2-1-,8-7-;4-3-;"
192139-92-7,,
321921-71-5,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5,"C24H39P/c1-2-3-4-25(23-11-17-5-18(12-23)7-19(6-17)13-23)24-14-20-8-21(15-24)10-22(9-20)16-24/h17-22H,2-16H2,1H3"
395116-70-8,C1C2CC3CC1CC(C2)(C3)P(CC4=CC=CC=C4)C56CC7CC(C5)CC(C7)C6,"C27H37P/c1-2-4-19(5-3-1)18-28(26-12-20-6-21(13-26)8-22(7-20)14-26)27-15-23-9-24(16-27)11-25(10-23)17-27/h1-5,20-25H,6-18H2"
6476-36-4,CC(C)P(C(C)C)C(C)C,"C9H21P/c1-7(2)10(8(3)4)9(5)6/h7-9H,1-6H3"
395116-70-8,C1C2CC3CC1CC(C2)(C3)P(CC4=CC=CC=C4)C56CC7CC(C5)CC(C7)C6,"C27H37P/c1-2-4-19(5-3-1)18-28(26-12-20-6-21(13-26)8-22(7-20)14-26)27-15-23-9-24(16-27)11-25(10-23)17-27/h1-5,20-25H,6-18H2"
10025-69-1,,
174813-82-2,CC1=CC=C(C=C1)S(=O)(=O)[N-]C(C2=CC=CC=C2)C(C3=CC=CC=C3)N.CC1=CC(=CC(=C1)C)C.[Cl-].[Ru+2],"C21H21N2O2S.C9H12.ClH.Ru/c1-16-12-14-19(15-13-16)26(24,25)23-21(18-10-6-3-7-11-18)20(22)17-8-4-2-5-9-17;1-7-4-8(2)6-9(3)5-7;;/h2-15,20-21H,22H2,1H3;4-6H,1-3H3;1H;/q-1;;;+2/p-1/t20-,21-;;;/m1.../s1"
2169976-34-3,CC(C)(C)P(C1=CC(=C(C=C1)N(C)C)Cl)C(C)(C)C.C1=CC=C([C-]=C1)C2=CC=CC=C2N.[Pd+2],"C16H27ClNP.C12H10N.Pd/c1-15(2,3)19(16(4,5)6)12-9-10-14(18(7)8)13(17)11-12;13-12-9-5-4-8-11(12)10-6-2-1-3-7-10;/h9-11H,1-8H3;1-6,8-9H,13H2;/q;-1;+2"
1375325-71-5,,
1651823-59-4,,
174813-82-2,CC1=CC=C(C=C1)S(=O)(=O)[N-]C(C2=CC=CC=C2)C(C3=CC=CC=C3)N.CC1=CC(=CC(=C1)C)C.[Cl-].[Ru+2],"C21H21N2O2S.C9H12.ClH.Ru/c1-16-12-14-19(15-13-16)26(24,25)23-21(18-10-6-3-7-11-18)20(22)17-8-4-2-5-9-17;1-7-4-8(2)6-9(3)5-7;;/h2-15,20-21H,22H2,1H3;4-6H,1-3H3;1H;/q-1;;;+2/p-1/t20-,21-;;;/m1.../s1"
,,
10022-66-9,O.O.[O-][Os](=O)(=O)[O-].[K+].[K+],2K.2H2O.4O.Os/h;;2*1H2;;;;;/q2*+1;;;;;2*-1;
2799-17-9,CC(CN)O,"C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3/t3-/m0/s1"
64584-92-5,CC(CC=C)O,"C5H10O/c1-3-4-5(2)6/h3,5-6H,1,4H2,2H3/t5-/m1/s1"
0-0-0,,
68109-03-5,CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[O-][W](=O)(=O)[O-].[O-][W](=O)(=O)[O-],"4C16H36N.8O.2W/c4*1-5-9-13-17(14-10-6-2,15-11-7-3)16-12-8-4;;;;;;;;;;/h4*5-16H2,1-4H3;;;;;;;;;;/q4*+1;;;;;4*-1;;"
67-68-5,CS(=O)C,C2H6OS/c1-4(2)3/h1-2H3
877-24-7,C1=CC=C(C(=C1)C(=O)O)C(=O)[O-].[K+],"C8H6O4.K/c9-7(10)5-3-1-2-4-6(5)8(11)12;/h1-4H,(H,9,10)(H,11,12);/q;+1/p-1"
7758-11-4,OP(=O)([O-])[O-].[K+].[K+],"2K.H3O4P/c;;1-5(2,3)4/h;;(H3,1,2,3,4)/q2*+1;/p-2"
68737-65-5,CNC1CCCCC1NC,"C8H18N2/c1-9-7-5-3-4-6-8(7)10-2/h7-10H,3-6H2,1-2H3/t7-,8-/m1/s1"
6192-52-5,CC1=CC=C(C=C1)S(=O)(=O)O.O,"C7H8O3S.H2O/c1-6-2-4-7(5-3-6)11(8,9)10;/h2-5H,1H3,(H,8,9,10);1H2"
124-41-4,C[O-].[Na+],CH3O.Na/c1-2;/h1H3;/q-1;+1
13716-12-6,CC(C)(C)P(C(C)(C)C)C(C)(C)C,"C12H27P/c1-10(2,3)13(11(4,5)6)12(7,8)9/h1-9H3"
2749-11-3,CC(CO)N,"C3H9NO/c1-3(4)2-5/h3,5H,2,4H2,1H3/t3-/m0/s1"
127852-28-2,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O,"C10H8F6O/c1-5(17)6-2-7(9(11,12)13)4-8(3-6)10(14,15)16/h2-5,17H,1H3/t5-/m1/s1"
110-86-1,C1=CC=NC=C1,C5H5N/c1-2-4-6-5-3-1/h1-5H
66003-76-7,C1=CC=C(C=C1)[I+]C2=CC=CC=C2.C(F)(F)(F)S(=O)(=O)[O-],"C12H10I.CHF3O3S/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12;2-1(3,4)8(5,6)7/h1-10H;(H,5,6,7)/q+1;/p-1"
7778-53-2,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],"3K.H3O4P/c;;;1-5(2,3)4/h;;;(H3,1,2,3,4)/q3*+1;/p-3"
1310-73-2,[OH-].[Na+],Na.H2O/h;1H2/q+1;/p-1
92-52-4,C1=CC=C(C=C1)C2=CC=CC=C2,C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H
92-52-4,C1=CC=C(C=C1)C2=CC=CC=C2,C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H
3375-31-3,CC(=O)[O-].CC(=O)[O-].[Pd+2],"2C2H4O2.Pd/c2*1-2(3)4;/h2*1H3,(H,3,4);/q;;+2/p-2"
340810-50-6,,
102747-84-2,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)NC(=O)CCC(C(=O)O)N,"C24H24N2O3/c25-21(23(28)29)16-17-22(27)26-24(18-10-4-1-5-11-18,19-12-6-2-7-13-19)20-14-8-3-9-15-20/h1-15,21H,16-17,25H2,(H,26,27)(H,28,29)/t21-/m0/s1"
12125-02-9,[NH4+].[Cl-],ClH.H3N/h1H;1H3
64-19-7,CC(=O)O,"C2H4O2/c1-2(3)4/h1H3,(H,3,4)"
107-06-2,C(CCl)Cl,C2H4Cl2/c3-1-2-4/h1-2H2
7647-01-0,Cl,ClH/h1H
28020-73-7,C1=CC=C2C(=C1)NC(=N2)C3=NC(=CC=C3)C4=NC5=CC=CC=C5N4,"C19H13N5/c1-2-7-13-12(6-1)21-18(22-13)16-10-5-11-17(20-16)19-23-14-8-3-4-9-15(14)24-19/h1-11H,(H,21,22)(H,23,24)"
2129-31-9,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=C(C=C3)C(=O)O,"C19H15O2P/c20-19(21)15-11-13-18(14-12-15)22(16-7-3-1-4-8-16)17-9-5-2-6-10-17/h1-14H,(H,20,21)"
149-73-5,COC(OC)OC,"C4H10O3/c1-5-4(6-2)7-3/h4H,1-3H3"
149-73-5,COC(OC)OC,"C4H10O3/c1-5-4(6-2)7-3/h4H,1-3H3"
